Property Name,Address,Owner,Square Footage
Prologis Stemmons 11,151 Regal Row Dallas TX,Prologis,150000
Prologis Northgate 12,902 Nicholson Road Garland TX,Prologis,250000
Prologis DFW 9,620 Westport Parkway Grapevine TX,Prologis,120000
Prologis Freeport Corporate Center 19,600 South Royal Lane Coppell TX,Prologis,300000
Prologis Park 121 Building 2,180 North Freeport Parkway Coppell TX,Prologis,175000
Prologis Park 121 Building 1,110 N Freeport Parkway Coppell TX,Prologis,180000
Prologis Great Southwest 12,1202 Avenue T Grand Prairie TX,Prologis,210000
Prologis Meacham 2,3901 N. Sylvania Avenue Fort Worth TX,Prologis,190000
Prologis Hanover 4,801 Hanover Drive Grapevine TX,Prologis,135000
